# Rig calib list with one line of data per calib:
#   RIG_ID, NUM_SENSORS, REF_SENSOR_TYPE, REF_SENSOR_ID, SENSORS[] as (SENSOR_TYPE, SENSOR_ID, HAS_POSE, [QW, QX, QY, QZ, TX, TY, TZ])
# Number of rigs: 74
1 1 CAMERA 1
2 1 CAMERA 2
3 1 CAMERA 3
4 1 CAMERA 4
5 1 CAMERA 5
6 1 CAMERA 6
7 1 CAMERA 7
8 1 CAMERA 8
9 1 CAMERA 9
10 1 CAMERA 10
11 1 CAMERA 11
12 1 CAMERA 12
13 1 CAMERA 13
14 1 CAMERA 14
15 1 CAMERA 15
16 1 CAMERA 16
17 1 CAMERA 17
18 1 CAMERA 18
19 1 CAMERA 19
20 1 CAMERA 20
21 1 CAMERA 21
22 1 CAMERA 22
23 1 CAMERA 23
24 1 CAMERA 24
25 1 CAMERA 25
27 1 CAMERA 27
28 1 CAMERA 28
29 1 CAMERA 29
30 1 CAMERA 30
31 1 CAMERA 31
32 1 CAMERA 32
33 1 CAMERA 33
34 1 CAMERA 34
35 1 CAMERA 35
36 1 CAMERA 36
37 1 CAMERA 37
38 1 CAMERA 38
39 1 CAMERA 39
40 1 CAMERA 40
41 1 CAMERA 41
42 1 CAMERA 42
43 1 CAMERA 43
44 1 CAMERA 44
45 1 CAMERA 45
46 1 CAMERA 46
47 1 CAMERA 47
48 1 CAMERA 48
49 1 CAMERA 49
50 1 CAMERA 50
51 1 CAMERA 51
52 1 CAMERA 52
67 1 CAMERA 67
68 1 CAMERA 68
69 1 CAMERA 69
70 1 CAMERA 70
71 1 CAMERA 71
72 1 CAMERA 72
73 1 CAMERA 73
74 1 CAMERA 74
75 1 CAMERA 75
76 1 CAMERA 76
77 1 CAMERA 77
78 1 CAMERA 78
94 1 CAMERA 94
96 1 CAMERA 96
97 1 CAMERA 97
115 1 CAMERA 115
116 1 CAMERA 116
135 1 CAMERA 135
136 1 CAMERA 136
137 1 CAMERA 137
138 1 CAMERA 138
139 1 CAMERA 139
140 1 CAMERA 140
